tflop -------------------
threads,ccstm-cont_low-d,ccstm-cont_low-rfw,ccstm-cont_low-t,deuce-cont_low-lsa,deuce-cont_low-lsacm,deuce-cont_low-tl2,deuce-cont_low-tl2cm,multiverse-cont_low,
1,21793691,20214645,16773817,0,19965954,0,4831244,38784687,
2,22923086,21563845,23083972,0,18358370,0,6817542,19562264,
4,37011174,37289204,34921146,0,31579877,0,11821051,27098900,
8,54660347,56535657,57651542,0,59202500,0,13927032,37013423,
16,72946066,69427312,69765904,0,62991810,0,13912074,55166761,
32,74846141,75742378,73347375,0,741774,0,7453326,61067366,
64,80899083,88851343,85840908,0,168697,0,6066888,43490461,
128,88727030,86779335,89640123,0,105664,0,4835295,42694628,
256,90153753,97619000,89174566,0,43503,0,3847730,44136482,

threads,ccstm-cont_high-d,ccstm-cont_high-rfw,ccstm-cont_high-t,deuce-cont_high-lsa,deuce-cont_high-lsacm,deuce-cont_high-tl2,deuce-cont_high-tl2cm,multiverse-cont_high,
1,24117071,22533152,19015764,0,18781221,0,4968488,65728465,
2,6295837,7601164,6518352,0,4066769,0,5275832,38506050,
4,6297862,6647832,7113280,0,8136771,0,6896900,33237724,
8,8866076,9408166,10213723,0,12793695,0,7907729,17939802,
16,12681588,14055220,13437785,0,13237863,0,7587000,15590467,
32,23280508,24747921,26931255,0,20357,0,4333142,20902811,
64,42332446,42153109,45415772,0,3296,0,2489146,29469401,
128,60330131,60355506,60577165,0,2797,0,1413031,37189231,
256,79763887,82204432,78932583,0,1401,0,429531,41065499,



niagara3 -------------------
threads,ccstm-cont_low-d,ccstm-cont_low-rfw,ccstm-cont_low-t,deuce-cont_low-lsa,deuce-cont_low-lsacm,deuce-cont_low-tl2,deuce-cont_low-tl2cm,multiverse-cont_low,
1,1757190,1620557,1389840,2127609,1714919,1011030,653956,3116509,
2,2642362,2604083,2224762,2790213,2394994,1807923,1131782,2952095,
4,4390937,4538101,4334655,5413352,4577558,1850387,2112408,4630070,
8,8608611,8720132,7994157,10588183,8611974,6053951,4418466,8838889,
16,17197027,17498108,16099420,8207451,11622632,6800990,8909857,15593706,
32,24661017,24387937,25962560,3866099,4002904,8578888,5914012,25497901,
64,23521867,23843739,23648762,3441567,2881138,1284280,2121078,17792473,
128,23544635,23322215,25816286,2390654,3775988,365522,2018239,17081160,
256,21841805,25271714,20190665,2893577,3509940,134708,3518815,16972422,

threads,ccstm-cont_high-d,ccstm-cont_high-rfw,ccstm-cont_high-t,deuce-cont_high-lsa,deuce-cont_high-lsacm,deuce-cont_high-tl2,deuce-cont_high-tl2cm,multiverse-cont_high,
1,1941522,1838233,1451315,2123471,1753677,1028546,686383,5250484,
2,1208710,1417021,1153329,23328,43425,1050775,815018,2333185,
4,1296096,1341977,1483556,18190,460557,1124637,1073533,2099079,
8,1993595,2000692,2145430,339578,858407,1055850,1782677,2220670,
16,3380622,3459902,3652220,4345817,1853856,97763,3581959,3592782,
32,5514429,5864402,6035066,1704937,3315652,671838,4148523,5398548,
64,6683896,7385609,8507334,2974803,3812943,590043,5265162,6154625,
128,8128488,8471165,9881381,5618513,1945642,421527,2188894,11125009,
256,4903350,6811719,7145519,2817072,3261351,131923,4878550,10076275,



