tflop -------------------
threads,ccstm-cont_low-d,ccstm-cont_low-rfw,ccstm-cont_low-t,deuce-cont_low-lsa,deuce-cont_low-tl2,multiverse-cont_low,
1,21572132,20317518,16401624,23281797,16171003,37205164,
2,19640521,18827142,19708668,23231840,16643250,19191612,
4,30550709,35149129,34950302,39658610,31442740,25534573,
8,54496987,53655650,53885139,63428720,56996726,42401543,
16,64849196,71796470,65904143,77080112,75502957,54290629,
32,73419256,69413733,73370857,595725,14434818,59505860,
64,81709626,76330964,81436737,217404,9354734,41524119,
128,90977733,76714284,80569639,134811,5891913,41801616,
256,90967249,87443227,72867313,89134,4938828,46761309,

threads,ccstm-cont_high-d,ccstm-cont_high-rfw,ccstm-cont_high-t,deuce-cont_high-lsa,deuce-cont_high-tl2,multiverse-cont_high,
1,24386209,22698470,18324164,25379134,16832246,65756026,
2,5750716,6967050,6398339,3773765,9138500,37193226,
4,5897427,6432521,7099125,5413180,11929565,33821055,
8,8503387,9376782,9711315,13516567,18784013,18069483,
16,13164818,14143644,15666910,12387125,26051642,15279997,
32,24748136,26569260,28356612,27662,8523490,21809213,
64,40317627,41569927,42251623,3413,4562722,29857663,
128,62101928,59081027,56010913,1306,2436723,35406780,
256,60838851,47116524,43326631,801,1781929,38502638,



